frame,face_id,timestamp,confidence,success,position,aoi,tester,client_id,eye_l_X,eye_l_Y,eye_l_Z,eye_r_X,eye_r_Y,eye_r_Z,gaze_l_X,gaze_l_Y,gaze_l_Z
85,0,1560426758.0,0.925,1,5,26,34_,cam_1,-106.48724999999999,170.1705,823.67925,-167.751375,202.52887499999997,907.403875,-0.0868882,-0.05070530000000001,-0.994927
87,0,1560426761.0,0.925,1,5,26,34_,cam_1,-173.38675,151.786375,814.7541249999999,-247.01199999999997,187.647375,916.077625,0.00446747,0.038380300000000006,-0.9992530000000001
242,0,1560426763.0,0.975,1,5,26,34_,cam_3,-448.96362500000004,567.847125,1427.31875,-452.2475,544.816,1374.365,-0.341959,-0.0993643,-0.9344469999999999
89,0,1560426765.0,0.975,1,5,26,34_,cam_1,-199.129,142.67925000000002,806.508375,-266.880125,173.83275,882.5751250000001,0.0102179,0.030869999999999998,-0.9994709999999999
243,0,1560426766.0,0.975,1,5,26,34_,cam_3,-602.0235,514.0631249999999,1427.62625,-598.5635000000001,491.533375,1370.6250000000002,-0.248554,-0.0916962,-0.964268
90,0,1560426767.0,0.975,1,5,26,34_,cam_1,-171.353625,126.52112499999998,800.896625,-239.83099999999996,155.69125,887.9264999999999,-0.0204393,0.011452,-0.999726
91,0,1560426768.0,0.975,1,5,26,34_,cam_1,-172.80662499999997,133.307875,824.3689999999999,-242.190375,164.811625,913.120125,-0.0194987,0.021149,-0.9995860000000001
92,0,1560426768.0,0.975,1,5,26,34_,cam_1,-172.466125,132.93349999999998,819.3084999999999,-242.34775000000002,165.32637499999998,910.6065,-0.0197294,0.0201806,-0.999602
93,0,1560426769.0,0.975,1,5,26,34_,cam_1,-169.083125,133.0,805.7675,-240.719875,165.687,902.807375,-0.0210285,0.0161747,-0.999648
244,0,1560426770.0,0.975,1,5,26,34_,cam_3,-737.1881249999999,470.24625000000003,1368.8675000000003,-729.557875,452.960875,1320.30375,-0.16956500000000002,-0.0868314,-0.9816860000000001
245,0,1560426773.0,0.975,1,5,3,34_,cam_3,-789.77,446.28512499999994,1316.295,-769.47125,417.574375,1250.2500000000002,-0.116502,-0.047018300000000006,-0.9920770000000001
97,0,1560426773.0,0.975,1,5,3,34_,cam_1,-13.696124999999999,121.423875,818.607625,-47.753287500000006,85.556775,767.4123750000001,0.610344,-0.319913,-0.724662
98,0,1560426774.0,0.975,1,5,3,34_,cam_1,-17.034437500000003,122.56875000000002,843.407,-52.2499125,88.6780875,799.896375,0.599607,-0.315668,-0.735408
99,0,1560426774.0,0.975,1,5,3,34_,cam_1,-21.492024999999998,123.81787500000002,869.9549999999999,-58.254512500000004,91.36387500000001,805.868,0.599585,-0.298792,-0.7424430000000001
100,0,1560426775.0,0.975,1,5,3,34_,cam_1,-25.593375,122.67075,873.4497499999999,-62.4389375,92.43961250000001,795.6078749999999,0.5980409999999999,-0.287591,-0.7480899999999999
101,0,1560426775.0,0.975,1,5,3,34_,cam_1,-28.533825000000004,123.26962499999999,879.8651249999999,-65.93078750000001,94.1387,799.50775,0.590516,-0.27033,-0.7604029999999999
102,0,1560426777.0,0.975,1,5,3,34_,cam_1,-38.15282500000001,166.88,893.88975,-79.041475,150.29887499999998,869.0835,0.51791,-0.00526777,-0.855419
253,0,1560426778.0,0.975,1,5,17,34_,cam_3,-581.625,347.26124999999996,996.2353749999999,-595.2485,307.8705,966.73,-0.043305199999999995,-0.09573789999999999,-0.9944639999999999
254,0,1560426779.0,0.975,1,5,17,34_,cam_3,-576.651125,344.17425,987.296125,-590.2076250000001,304.381125,957.939,-0.0407402,-0.0908097,-0.995035
103,0,1560426779.0,0.975,1,5,17,34_,cam_1,-35.6744,183.973625,841.6535,-80.58732499999999,173.47412500000002,829.8515000000001,0.47466499999999995,0.0059413999999999995,-0.8801459999999999
255,0,1560426779.0,0.975,1,5,17,34_,cam_3,-576.0386249999999,344.17350000000005,987.0790000000001,-590.0135,303.662125,957.0042500000001,-0.0320903,-0.0869526,-0.9956950000000001
256,0,1560426780.0,0.975,1,5,17,34_,cam_3,-581.14725,347.420125,996.5556250000001,-594.4839999999999,306.0165,964.4113749999999,-0.0233005,-0.0888212,-0.995775
104,0,1560426781.0,0.975,1,5,17,34_,cam_1,-45.9589875,197.406875,801.3332499999999,-92.3275,188.17075,779.7293749999999,0.42566099999999996,-0.037359500000000004,-0.9041110000000001
258,0,1560426781.0,0.975,1,5,17,34_,cam_3,-579.2814999999999,346.864625,995.23,-610.207,314.099,985.624,0.0465135,-0.0919826,-0.994674
105,0,1560426781.0,0.975,1,5,17,34_,cam_1,-52.292399999999994,182.45137499999998,783.7975,-98.02544999999999,173.005,759.8899999999999,0.427775,-0.120468,-0.8958209999999999
259,0,1560426781.0,0.975,1,5,17,34_,cam_3,-577.25125,346.47262499999994,992.2505,-607.93025,313.407375,981.578125,0.0555911,-0.0868904,-0.9946659999999999
260,0,1560426782.0,0.975,1,5,17,34_,cam_3,-581.412,348.944125,999.30925,-612.389375,315.971625,988.208125,0.0615956,-0.0823139,-0.9947010000000001
106,0,1560426783.0,0.975,1,5,17,34_,cam_1,-58.484199999999994,133.27025,778.6144999999999,-104.454375,125.46000000000001,743.2001250000001,0.431561,-0.0793426,-0.8985879999999999
262,0,1560426783.0,0.975,1,5,17,34_,cam_3,-570.294,342.58737499999995,980.1680000000001,-615.0230000000001,318.51125,990.0598750000001,0.08778480000000001,-0.08862660000000001,-0.992189
264,0,1560426785.0,0.975,1,5,21,34_,cam_3,-573.42925,343.27875,983.650875,-622.130375,323.02950000000004,998.920625,0.09409980000000001,-0.100564,-0.9904709999999999
107,0,1560426785.0,0.975,1,5,21,34_,cam_1,-65.23564999999999,109.431,754.2944999999999,-113.4385,103.41275,731.5105,0.384114,-0.0769439,-0.920074
265,0,1560426785.0,0.975,1,5,21,34_,cam_3,-568.983375,340.75999999999993,976.647125,-616.6113750000001,320.329625,990.2735,0.09724730000000001,-0.107178,-0.9894729999999999
108,0,1560426785.0,0.975,1,5,21,34_,cam_1,-66.9265125,104.857125,759.56275,-116.24674999999999,99.92465000000001,746.620625,0.360417,-0.163152,-0.9184120000000001
267,0,1560426786.0,0.975,1,5,21,34_,cam_3,-573.4087499999999,343.05400000000003,983.536625,-633.89875,331.5415,1016.32375,0.109625,-0.134732,-0.984799
109,0,1560426787.0,0.975,1,5,21,34_,cam_1,-42.971825,130.677875,763.3015,-90.901375,123.06937500000001,730.5546249999999,0.36736599999999997,-0.0299699,-0.929594
110,0,1560426787.0,0.975,1,5,21,34_,cam_1,-44.0083875,131.21837499999998,770.47875,-93.17399999999999,124.336375,746.9315000000001,0.345321,-0.015951499999999997,-0.938349
