frame,face_id,timestamp,confidence,success,position,aoi,tester,client_id,eye_l_X,eye_l_Y,eye_l_Z,eye_r_X,eye_r_Y,eye_r_Z,gaze_l_X,gaze_l_Y,gaze_l_Z
296,0,1560525535.0,0.975,1,5,6,47_,cam_1,56.3189875,224.82525,754.67525,12.4585875,181.140625,652.794875,0.5317970000000001,-0.311271,-0.787593
319,0,1560525566.0,0.975,1,5,23,47_,cam_1,20.2799875,233.85399999999998,666.045,-32.2598125,230.6565,669.362625,0.122475,-0.5905229999999999,-0.797673
349,0,1560525627.0,0.975,1,5,15,47_,cam_1,13.8691125,269.546375,786.832375,-31.0840125,241.30875,747.8512499999999,0.433068,-0.331377,-0.8382370000000001
350,0,1560525628.0,0.975,1,5,15,47_,cam_1,9.2640625,276.69412500000004,796.4992499999998,-35.283925,246.69750000000002,757.2080000000001,0.44412700000000005,-0.320396,-0.8367190000000001
352,0,1560525631.0,0.975,1,5,12,47_,cam_1,74.18637499999998,283.57574999999997,783.2607500000001,24.7143375,255.197875,745.552,0.372637,-0.377817,-0.847582
385,0,1560525692.0,0.975,1,5,14,47_,cam_1,67.78195,312.54225,783.649625,16.238875,280.72124999999994,729.9388749999999,0.32348000000000005,-0.255306,-0.911142
1885,0,1560525699.0,0.975,1,5,16,47_,cam_4,195.128125,190.4275,600.476125,146.74612499999998,202.323125,609.3389999999999,-0.184777,-0.42886,-0.884272
1887,0,1560525700.0,0.975,1,5,16,47_,cam_4,163.42187499999997,168.01100000000002,555.646,123.0325,189.79412499999998,588.734375,-0.28008099999999997,-0.469524,-0.837318
1888,0,1560525701.0,0.975,1,5,16,47_,cam_4,172.28775,180.29025000000001,599.6175,129.958625,202.394625,625.8274999999999,-0.297615,-0.45919,-0.837001
1889,0,1560525702.0,0.975,1,5,16,47_,cam_4,178.435875,184.56099999999998,608.721625,135.98875,207.0385,635.2764999999999,-0.30092199999999997,-0.475734,-0.8265129999999999
1895,0,1560525705.0,0.925,1,4,6,47_,cam_4,195.102,191.94099999999997,645.498,164.698125,234.73125,702.1188750000001,-0.47552,-0.45274899999999996,-0.754254
1896,0,1560525705.0,0.925,1,4,6,47_,cam_4,192.79387499999999,193.5135,646.2555,162.21949999999998,236.102625,702.185375,-0.475109,-0.45109,-0.755506
1897,0,1560525706.0,0.925,1,4,6,47_,cam_4,192.14975,192.8495,645.23275,160.751875,234.21875,697.6285,-0.476023,-0.44961999999999996,-0.755807
1929,0,1560525762.0,0.975,1,4,1,47_,cam_4,160.604875,246.46224999999998,643.36625,115.69424999999998,268.74737500000003,670.169375,-0.184811,-0.519171,-0.83445
1934,0,1560525768.0,0.975,1,4,1,47_,cam_4,135.531625,222.47237499999997,588.5319999999999,100.370875,263.113,646.92425,-0.305462,-0.429399,-0.8498879999999999
2019,0,1560525857.0,0.975,1,4,3,47_,cam_4,51.34451250000001,58.29667499999999,209.0555,39.983075,48.183725,186.86787500000003,-0.811501,0.041331599999999996,-0.582887
2020,0,1560525857.0,0.975,1,4,3,47_,cam_4,59.3783,57.9903375,218.84937499999998,56.612049999999996,75.13365,268.962,-0.8156359999999999,-0.0371277,-0.5773739999999999
2021,0,1560525859.0,0.975,1,4,3,47_,cam_4,73.78902500000001,68.6148875,251.967,52.4913375,70.87746250000001,239.457,-0.798104,-0.049160300000000004,-0.60051
2023,0,1560525864.0,0.975,1,4,14,47_,cam_4,94.06972499999999,83.798175,293.738625,58.6793375,97.28550000000001,290.81825,-0.6960810000000001,-0.152951,-0.701483
2024,0,1560525869.0,0.975,1,4,16,47_,cam_4,271.37825,238.59175000000002,768.091,234.608125,237.231625,764.829375,-0.768443,-0.167185,-0.617693
2025,0,1560525874.0,0.975,1,3,6,47_,cam_4,308.72375,259.1825,777.1376250000001,283.625625,263.105,771.1125,-0.84447,-0.23412199999999997,-0.481724
2026,0,1560525875.0,0.975,1,3,6,47_,cam_4,295.07624999999996,251.99150000000003,744.7132499999999,268.472125,255.679,756.11425,-0.82462,-0.22850700000000002,-0.51748
2543,0,1560526028.0,0.925,1,3,16,47_,cam_4,196.61475,27.324337500000006,462.02150000000006,162.1665,48.52578749999999,493.69174999999996,-0.48219300000000004,-0.332031,-0.810707
2548,0,1560526036.0,0.975,1,2,10,47_,cam_4,275.413625,58.9705375,647.4504999999999,249.88375,73.6957375,689.503375,-0.765375,-0.139238,-0.628342
2549,0,1560526037.0,0.975,1,2,10,47_,cam_4,287.818625,58.16878749999999,679.2625,256.56449999999995,75.38325,707.4039999999999,-0.756302,-0.172278,-0.631132
2550,0,1560526038.0,0.975,1,2,10,47_,cam_4,287.07075,59.8185,676.292875,257.16475,77.738475,710.255,-0.740771,-0.18720599999999998,-0.645145
2558,0,1560526053.0,0.975,1,2,23,47_,cam_4,208.285,72.38875,473.7925000000001,180.775375,94.8975625,530.404375,-0.459312,-0.212806,-0.8624069999999999
2559,0,1560526054.0,0.925,1,2,23,47_,cam_4,219.90287500000002,72.797825,487.4265,189.46412500000002,95.3877875,534.6341249999999,-0.485663,-0.284425,-0.8265790000000001
2560,0,1560526059.0,0.975,1,2,19,47_,cam_4,164.970625,86.469875,496.788625,147.143,122.21724999999999,509.956,-0.87498,-0.27112800000000004,-0.401122
2600,0,1560526128.0,0.975,1,2,25,47_,cam_4,68.032775,98.75737500000001,518.9905000000001,63.262775000000005,140.04049999999998,550.132875,-0.806767,-0.22302199999999997,-0.547164
2605,0,1560526132.0,0.975,1,2,9,47_,cam_4,63.79791249999999,113.07575,498.691125,46.3426125,153.89024999999998,492.92575,-0.74866,-0.273918,-0.60372
2608,0,1560526140.0,0.975,1,2,17,47_,cam_4,95.741,84.32666250000001,520.745375,71.9426375,103.89025000000001,460.83125,-0.826778,-0.263837,-0.49681800000000004
2609,0,1560526140.0,0.975,1,2,17,47_,cam_4,100.0273875,87.8842375,542.853,93.8937625,144.234375,632.818,-0.753372,-0.291812,-0.5893010000000001
2610,0,1560526141.0,0.975,1,2,17,47_,cam_4,95.9223375,80.784325,503.07875,71.6718125,110.02674999999999,478.93112499999995,-0.756896,-0.379498,-0.532062
2611,0,1560526141.0,0.975,1,2,17,47_,cam_4,99.36240000000001,87.63423750000001,521.759,78.9101125,121.39025000000001,529.48175,-0.743178,-0.41639,-0.523742
2612,0,1560526147.0,0.975,1,2,17,47_,cam_4,79.21436250000001,127.33112499999999,561.6893749999999,80.729175,163.68500000000003,581.214375,-0.8230370000000001,-0.135973,-0.551471
2613,0,1560526152.0,0.975,1,2,24,47_,cam_4,97.17497499999999,97.19103750000001,560.330625,80.01778750000001,138.904875,562.5158749999999,-0.739223,-0.2216,-0.635958
2614,0,1560526157.0,0.975,1,2,11,47_,cam_4,108.579125,73.3195375,528.872625,97.69501249999999,120.28837499999999,579.3870000000001,-0.7633439999999999,-0.259915,-0.5913970000000001
2615,0,1560526158.0,0.975,1,2,11,47_,cam_4,108.19050000000001,75.2352125,522.3077499999999,75.5662375,96.15126249999999,450.96925,-0.758251,-0.364595,-0.5404869999999999
2616,0,1560526163.0,0.975,1,2,2,47_,cam_4,108.86325000000002,106.45625000000001,543.256125,106.72975,148.0025,572.6724999999999,-0.840931,-0.246908,-0.48153
2617,0,1560526164.0,0.975,1,2,2,47_,cam_4,105.2985,103.3435,543.9207500000001,106.509875,140.359625,565.9960000000001,-0.867772,-0.21545999999999998,-0.447826
2623,0,1560526170.0,0.975,1,2,20,47_,cam_4,92.60717499999998,105.2805,478.9095,55.26515,129.13824999999997,425.371625,-0.601586,-0.641088,-0.476551
2631,0,1560526178.0,0.975,1,2,3,47_,cam_4,94.264625,116.092,533.408,65.0297125,153.93325,511.981125,-0.626703,-0.551447,-0.5505899999999999
2634,0,1560526180.0,0.975,1,2,3,47_,cam_4,99.4529875,126.13575,610.2312499999999,80.85606250000001,175.951375,640.365625,-0.669226,-0.402335,-0.624711
2637,0,1560526194.0,0.975,1,2,16,47_,cam_4,59.356525000000005,129.77062500000002,530.5755,48.5451625,177.48262499999998,567.03575,-0.743075,-0.30149000000000004,-0.597448
2638,0,1560526194.0,0.975,1,2,16,47_,cam_4,58.71104999999999,127.52899999999998,529.2862499999999,48.67733749999999,177.221,560.6286249999999,-0.732559,-0.324306,-0.598483
5738,0,1560526198.0,0.975,1,2,16,47_,cam_3,-11.141175,162.487625,596.417375,-22.429524999999998,214.38,646.833125,-0.626096,-0.186192,-0.7571899999999999
2639,0,1560526200.0,0.975,1,1,6,47_,cam_4,78.4428375,106.31575000000001,510.380125,57.124312499999995,155.358125,531.9691250000001,-0.761189,-0.336766,-0.554237
5739,0,1560526202.0,0.975,1,1,6,47_,cam_3,-151.00737500000002,171.45362499999996,587.602625,-173.71524999999997,221.644125,632.3661249999999,-0.46560100000000004,-0.244783,-0.850469
2465,0,1560526202.0,0.975,1,1,6,47_,cam_2,328.9885,250.748625,599.588,277.52925000000005,250.709125,599.225875,-0.23356300000000002,-0.255537,-0.938163
2640,0,1560526205.0,0.975,1,1,6,47_,cam_4,74.0737875,79.8628875,413.934125,61.51486250000001,133.45749999999998,463.597375,-0.740697,-0.42203500000000005,-0.522738
2641,0,1560526205.0,0.975,1,1,10,47_,cam_4,66.5626,72.7061625,377.78824999999995,50.13643750000001,114.20400000000001,387.991875,-0.742247,-0.340211,-0.577344
5742,0,1560526209.0,0.975,1,1,10,47_,cam_3,-314.9455,198.683625,636.8372499999999,-372.477125,193.54825,645.111,0.496142,-0.523157,-0.692929
5743,0,1560526209.0,0.975,1,1,10,,cam_3,-322.254125,202.546375,649.6635,-378.35400000000004,196.68749999999997,655.3885,0.512818,-0.554667,-0.655257
