frame,face_id,timestamp,confidence,success,position,aoi,tester,client_id,eye_l_X,eye_l_Y,eye_l_Z,eye_r_X,eye_r_Y,eye_r_Z,gaze_l_X,gaze_l_Y,gaze_l_Z
6120,0,1560329349.0,0.975,1,2,12,05_,cam_4,66.7553875,123.654875,683.430375,12.0615025,114.728,658.602625,0.166865,0.0649783,-0.983836
6121,0,1560329351.0,0.975,1,2,12,05_,cam_4,131.897375,-134.00175,438.22137499999997,85.67328750000001,-146.545875,445.24174999999997,0.09416569999999999,0.166824,-0.9814799999999999
6130,0,1560329382.0,0.975,1,2,9,05_,cam_4,-33.9396125,-164.858625,582.383,-73.8962625,-159.642,640.009875,-0.408546,0.201389,-0.890243
6132,0,1560329389.0,0.975,1,2,26,05_,cam_4,-21.6689125,-130.86575,517.925125,-45.36226250000001,-85.27149999999999,533.55725,-0.555018,-0.014666,-0.831709
6137,0,1560329403.0,0.925,1,2,23,05_,cam_4,-22.69985,-121.744625,509.14525000000003,-46.0573375,-82.5131375,532.362625,-0.508062,-0.0639931,-0.8589399999999999
6140,0,1560329412.0,0.975,1,2,3,05_,cam_4,-5.75012625,-130.10325,579.6598749999999,-29.6625625,-78.20241250000001,541.651875,-0.5401819999999999,-0.150667,-0.827951
6141,0,1560329417.0,0.975,1,2,22,05_,cam_4,6.323910000000001,-157.40324999999999,605.104,-8.75863875,-128.39612499999998,649.6737499999999,-0.64447,0.042331099999999997,-0.7634569999999999
6142,0,1560329417.0,0.975,1,2,22,05_,cam_4,2.6440362499999996,-150.25825,586.141375,-12.0197625,-116.14574999999999,619.079875,-0.645043,-0.024790400000000004,-0.763744
6149,0,1560329428.0,0.975,1,2,13,05_,cam_4,-6.422305,-118.57875,504.712375,-25.82185,-78.40316250000001,521.44025,-0.587951,-0.0981297,-0.802922
6150,0,1560329428.0,0.975,1,2,13,05_,cam_4,-5.9292275,-118.348625,481.9621249999999,-21.269375,-55.2574,383.079625,-0.546353,-0.163955,-0.821351
6151,0,1560329429.0,0.975,1,2,13,05_,cam_4,-7.248598749999999,-121.65625,474.40462499999995,-25.878612500000003,-71.3341375,455.38087500000006,-0.48038000000000003,-0.15317,-0.863582
