frame,face_id,timestamp,confidence,success,position,aoi,tester,client_id,eye_l_X,eye_l_Y,eye_l_Z,eye_r_X,eye_r_Y,eye_r_Z,gaze_l_X,gaze_l_Y,gaze_l_Z
221,0,1560497329.0,0.925,1,4,6,39_,cam_4,145.06712499999998,223.37262500000003,608.6337500000001,116.10775,273.49375,691.086375,-0.40829899999999997,-0.431515,-0.804417
222,0,1560497330.0,0.925,1,4,6,39_,cam_4,145.72924999999998,224.022625,610.663,115.084,271.55225,686.033625,-0.40877399999999997,-0.44660200000000005,-0.795896
230,0,1560497335.0,0.975,1,4,4,39_,cam_4,156.45675,217.972875,586.565,118.94462499999999,249.282625,633.416125,-0.31205,-0.5121020000000001,-0.800235
231,0,1560497335.0,0.975,1,4,4,39_,cam_4,157.405375,218.09949999999998,587.28875,119.510375,248.79662499999998,633.294125,-0.31323,-0.5142909999999999,-0.7983680000000001
232,0,1560497336.0,0.975,1,4,4,39_,cam_4,150.122625,219.87374999999997,590.563625,117.5615,263.23974999999996,659.276875,-0.370383,-0.460071,-0.80694
274,0,1560497371.0,0.975,1,4,5,39_,cam_4,79.9297875,111.175625,317.296375,71.53241249999999,148.544625,357.29762500000004,-0.800061,-0.308135,-0.514738
275,0,1560497372.0,0.975,1,4,5,39_,cam_4,98.7556,130.60537499999998,368.30475,83.9572625,160.76174999999998,376.019375,-0.784933,-0.3816,-0.48812
277,0,1560497373.0,0.975,1,4,5,39_,cam_4,116.981625,147.890875,403.15525,91.0969625,128.73512499999998,300.724375,-0.920625,-0.289831,-0.26162399999999997
281,0,1560497382.0,0.975,1,4,21,39_,cam_4,141.4785,228.51824999999997,609.23275,114.2205,282.385375,701.148625,-0.398939,-0.36181199999999997,-0.8425790000000001
282,0,1560497383.0,0.975,1,4,21,39_,cam_4,142.120625,228.739125,612.1285,114.75075,282.85575,703.2113750000001,-0.411253,-0.375004,-0.830809
321,0,1560497433.0,0.975,1,4,12,39_,cam_4,188.259125,200.9635,592.316875,139.78612500000003,209.48875,602.0541250000001,-0.182764,-0.536363,-0.823961
322,0,1560497433.0,0.975,1,4,12,39_,cam_4,192.30949999999999,197.931375,585.691375,144.284125,206.46137500000003,592.8599999999999,-0.178489,-0.577932,-0.796327
323,0,1560497434.0,0.975,1,4,12,39_,cam_4,189.7305,197.950625,586.22825,144.95649999999998,210.789,606.0498749999999,-0.220532,-0.563422,-0.796192
2054,0,1560497609.0,0.975,1,1,1,39_,cam_3,-250.65325,199.79075,549.785125,-320.284625,225.1995,612.7737500000001,-0.11483800000000001,-0.310222,-0.943702
3877,0,1560497796.0,0.975,1,3,25,39_,cam_1,26.006200000000003,208.814625,589.177875,-23.3409,195.32787499999998,576.725375,0.22476999999999997,-0.19033599999999998,-0.955641
3890,0,1560497826.0,0.975,1,5,19,39_,cam_1,20.302775,232.112875,688.259125,-22.485299999999995,197.101,652.255875,0.464442,-0.42246000000000006,-0.778345
3894,0,1560497830.0,0.975,1,5,17,39_,cam_1,34.030662500000005,224.80775000000003,661.9108749999999,-14.2041125,197.8525,598.2127499999999,0.43711099999999997,-0.17911300000000002,-0.881392
3896,0,1560497833.0,0.975,1,5,17,39_,cam_1,33.3674875,226.29937500000003,624.064875,-13.0450375,203.514625,599.5025,0.297651,-0.14372100000000002,-0.943795
3897,0,1560497833.0,0.975,1,5,17,39_,cam_1,38.457075,229.39724999999996,628.2458750000001,-5.9372225,200.609125,598.2677500000001,0.330472,-0.17715799999999998,-0.92704
3921,0,1560497871.0,0.975,1,5,14,39_,cam_1,13.943237500000002,219.683625,606.194,-33.311924999999995,193.466,579.354875,0.25543699999999997,-0.23052899999999998,-0.93894
3941,0,1560497915.0,0.925,1,5,18,39_,cam_1,-5.812445,209.1455,609.734625,-57.4174,211.74787500000002,631.7438750000001,0.0768544,-0.573096,-0.8158770000000001
3957,0,1560497967.0,0.975,1,5,1,39_,cam_1,37.40806250000001,231.86575,572.135,4.3647125,180.857,528.805,0.566396,-0.357514,-0.742549
3091,0,1560497980.0,0.975,1,5,25,39_,cam_4,203.97625,37.26905,461.07725000000005,154.2905,53.35505,464.851625,-0.302232,-0.265373,-0.915551
3092,0,1560497980.0,0.975,1,5,25,39_,cam_4,205.635375,35.962625,451.363375,171.292625,56.554087499999994,497.75975,-0.268961,-0.27652600000000005,-0.922601
3093,0,1560497981.0,0.925,1,5,25,39_,cam_4,206.61012499999998,35.7923625,451.79224999999997,173.1715,56.5274375,501.2465000000001,-0.275562,-0.283296,-0.9185909999999999
3094,0,1560497982.0,0.925,1,5,25,39_,cam_4,211.91675000000004,33.5711875,469.74625,166.69287500000002,52.77256250000001,487.021,-0.358952,-0.321783,-0.8761329999999999
3097,0,1560497990.0,0.975,1,2,23,39_,cam_4,153.7735,37.6691875,480.7004999999999,163.405625,77.9321,671.75925,-0.587384,-0.318253,-0.744107
3100,0,1560497992.0,0.975,1,2,19,39_,cam_4,149.1565,36.147999999999996,475.031,128.31187500000001,66.0434625,533.7721250000001,-0.618084,-0.324836,-0.715859
3117,0,1560498029.0,0.975,1,2,24,39_,cam_4,191.10675,35.446062500000004,487.4055,167.649875,53.4364875,554.810625,-0.490571,-0.196221,-0.8490209999999999
