frame,face_id,timestamp,confidence,success,position,aoi,tester,client_id,eye_l_X,eye_l_Y,eye_l_Z,eye_r_X,eye_r_Y,eye_r_Z,gaze_l_X,gaze_l_Y,gaze_l_Z
241,0,1560431195.0,0.975,1,1,19,37_,cam_3,-37.9157625,289.088625,877.469625,-92.44581249999999,296.63075,926.8677499999999,-0.0541211,-0.0407361,-0.9977030000000001
230,0,1560431196.0,0.975,1,1,19,37_,cam_2,319.059,137.65399999999997,664.160375,261.460375,128.25437499999998,651.384125,-0.168322,-0.0416767,-0.984851
231,0,1560431198.0,0.975,1,1,19,37_,cam_2,316.44975,110.147875,658.206,259.939125,103.163375,649.267,-0.179454,0.0171152,-0.983617
243,0,1560431199.0,0.975,1,1,19,37_,cam_3,-82.7717125,212.67562500000003,804.519125,-140.114375,217.31949999999998,852.98225,0.00899447,-0.00357644,-0.9999530000000001
232,0,1560431199.0,0.975,1,1,19,37_,cam_2,331.865625,83.57907499999999,649.0698749999999,274.84825,79.07714999999999,640.604,-0.21076799999999998,-0.0182094,-0.977367
233,0,1560431201.0,0.975,1,1,19,37_,cam_2,349.061875,67.900675,654.158875,292.46125,64.404225,646.973375,-0.226566,-0.0978418,-0.9690690000000001
234,0,1560431202.0,0.975,1,1,19,37_,cam_2,314.310125,64.935975,688.8583750000001,250.25375000000003,60.604812499999994,662.813875,-0.116203,-0.309075,-0.9439120000000001
235,0,1560431203.0,0.975,1,1,19,37_,cam_2,315.88137500000005,67.78568750000001,697.827,252.535875,62.83658750000001,675.0665,-0.127029,-0.312881,-0.9412590000000001
236,0,1560431204.0,0.975,1,1,19,37_,cam_2,271.91225000000003,67.09795,640.9795,226.6105,74.62685,662.8853750000001,-0.29502399999999995,-0.184996,-0.9374100000000001
246,0,1560431205.0,0.975,1,1,19,37_,cam_3,-268.04025,-26.9501375,651.5213749999999,-342.74812499999996,-31.7766375,701.18125,0.281974,-0.194563,-0.9394870000000001
247,0,1560431206.0,0.975,1,1,19,37_,cam_3,-280.21525,-20.500974999999997,633.38525,-367.050875,-22.5768125,706.159625,0.256529,-0.13295,-0.957349
