frame,face_id,timestamp,confidence,success,position,aoi,tester,client_id,eye_l_X,eye_l_Y,eye_l_Z,eye_r_X,eye_r_Y,eye_r_Z,gaze_l_X,gaze_l_Y,gaze_l_Z
85,0,1560413802.0,0.975,1,5,5,26_,cam_1,-26.2531875,224.45725,707.1514999999999,-72.098325,210.440625,685.42425,0.418054,-0.29939899999999997,-0.857666
86,0,1560413802.0,0.975,1,5,5,26_,cam_1,-21.237499999999997,232.29925,727.9594999999999,-64.48235,215.12162500000005,700.048875,0.46966,-0.267117,-0.841468
87,0,1560413804.0,0.975,1,5,5,26_,cam_1,-3.4429225000000003,254.127125,780.4765,-43.6115375,233.12287500000005,742.7370000000001,0.520522,-0.245146,-0.8179
98,0,1560413824.0,0.925,1,5,17,26_,cam_1,-42.2930625,245.86262499999998,764.403,-83.5539,222.30874999999997,709.3242499999999,0.496375,-0.404934,-0.76788
99,0,1560413824.0,0.975,1,5,17,26_,cam_1,-40.9666625,248.134875,720.66725,-86.59642499999998,225.479625,675.5759999999999,0.41733100000000006,-0.32260300000000003,-0.8495659999999999
100,0,1560413825.0,0.975,1,5,17,26_,cam_1,-43.465475,250.24987500000003,724.7155,-89.8425,228.561875,680.171125,0.417833,-0.33603299999999997,-0.844096
102,0,1560413826.0,0.975,1,5,17,26_,cam_1,-54.900875,241.333,705.301875,-102.245825,224.164625,677.487,0.394539,-0.38810100000000003,-0.8328959999999999
104,0,1560413831.0,0.975,1,5,25,26_,cam_1,-138.14925,223.943875,679.8241249999999,-209.049625,270.859875,785.4717499999999,-0.12521,-0.358892,-0.9249430000000001
107,0,1560413839.0,0.975,1,5,24,26_,cam_1,-153.999875,255.046625,775.444,-208.645125,288.2835,829.725,-0.277308,-0.409051,-0.8693549999999999
113,0,1560413853.0,0.975,1,5,13,26_,cam_1,-13.4962875,277.104625,848.658625,-43.9263875,232.92200000000003,721.107125,0.653728,-0.273903,-0.7054199999999999
114,0,1560413855.0,0.975,1,5,13,26_,cam_1,-18.4632625,289.31262499999997,839.42675,-62.716575,260.6185,788.3952499999999,0.472264,-0.29370100000000005,-0.8310870000000001
117,0,1560413861.0,0.975,1,5,26,26_,cam_1,-45.780237500000005,263.70337500000005,777.7004999999999,-88.5830375,235.38225,719.26,0.493572,-0.312127,-0.811765
118,0,1560413863.0,0.975,1,5,26,26_,cam_1,-30.355249999999995,291.184,773.712,-73.38113750000001,258.12675,710.8504999999998,0.478033,-0.23354,-0.846725
129,0,1560413889.0,0.975,1,5,12,26_,cam_1,-15.9085125,252.4255,773.8646249999999,-46.6784625,229.74824999999998,689.73675,0.666492,-0.15851700000000002,-0.728464
134,0,1560413901.0,0.975,1,5,23,26_,cam_1,-8.31659,231.6075,731.953,-37.414225,239.8645,708.564,0.669738,-0.105477,-0.735069
145,0,1560413926.0,0.975,1,5,4,26_,cam_1,-41.411775,265.11,759.9347500000001,-84.67716250000001,236.25350000000003,698.9535000000001,0.46448500000000004,-0.310633,-0.829313
148,0,1560413932.0,0.975,1,5,16,26_,cam_1,-29.538500000000003,274.73650000000004,788.506375,-71.6003875,244.14937500000002,727.1753750000001,0.5024390000000001,-0.29546999999999995,-0.812559
149,0,1560413933.0,0.975,1,5,16,26_,cam_1,-31.512175,278.04875,796.0245,-73.57335,244.91049999999998,730.5775000000001,0.505848,-0.297627,-0.809652
150,0,1560413934.0,0.975,1,5,2,26_,cam_1,-36.25085000000001,275.26787499999995,791.3661249999999,-78.29495,242.59500000000003,728.278,0.50676,-0.309146,-0.80475
157,0,1560413952.0,0.975,1,5,7,26_,cam_1,-86.630625,212.20275,691.119875,-141.225125,214.515375,695.5899999999999,0.23545100000000002,-0.611151,-0.755683
160,0,1560413962.0,0.975,1,5,10,26_,cam_1,-12.1733,215.07737500000002,750.815125,-41.9046,218.52462500000004,705.80975,0.671397,-0.08215589999999999,-0.73653
161,0,1560413963.0,0.975,1,5,10,26_,cam_1,-13.427825,219.85475000000002,761.52125,-42.8024125,221.43249999999998,709.1535,0.672729,-0.0925811,-0.734074
162,0,1560413963.0,0.975,1,5,10,26_,cam_1,-21.6603125,236.960375,816.7762500000001,-51.6735375,230.48612500000002,744.027125,0.672409,-0.15948900000000002,-0.722793
163,0,1560413968.0,0.975,1,5,18,26_,cam_1,-31.682875,243.21675000000002,755.4085,-48.9033625,242.339,715.2486250000001,0.7285520000000001,-0.112916,-0.675619
164,0,1560413968.0,0.975,1,5,18,26_,cam_1,-31.467687499999997,244.250875,763.51825,-49.40025000000001,245.44925,722.378125,0.725688,-0.11371700000000001,-0.678561
165,0,1560413968.0,0.975,1,5,18,26_,cam_1,-19.6583375,220.56925,699.562625,-44.85803750000001,227.33562500000002,661.526625,0.696281,-0.0676303,-0.714576
166,0,1560413969.0,0.975,1,5,18,26_,cam_1,-12.048800000000002,197.00037500000002,639.20075,-41.102199999999996,212.969625,617.70075,0.669139,-0.0154955,-0.742976
