frame,face_id,timestamp,confidence,success,position,aoi,tester,client_id,eye_l_X,eye_l_Y,eye_l_Z,eye_r_X,eye_r_Y,eye_r_Z,gaze_l_X,gaze_l_Y,gaze_l_Z
99,0,1560517872.0,0.975,1,1,7,44_,cam_3,-337.06600000000003,39.35809999999999,619.9683750000002,-443.201125,45.654812500000006,714.934375,0.219162,-0.13180999999999998,-0.966744
100,0,1560517874.0,0.975,1,1,7,44_,cam_3,-314.269875,41.092324999999995,619.687625,-377.83825,35.344825,640.5545000000001,0.48426099999999994,-0.132508,-0.8648309999999999
34,0,1560517877.0,0.975,1,1,7,44_,cam_2,363.899,96.36536249999999,811.19425,291.53575,84.69295,714.49875,0.312012,-0.143844,-0.939126
35,0,1560517878.0,0.975,1,1,7,44_,cam_2,309.99512500000003,96.8487375,710.307,236.83212500000002,87.32504999999999,655.261375,0.0333572,-0.28822,-0.956983
104,0,1560517879.0,0.975,1,1,7,44_,cam_3,-289.22875000000005,90.15772500000003,682.5244999999999,-318.524375,70.77477499999999,640.8362500000001,0.679423,0.00982136,-0.733681
36,0,1560517880.0,0.975,1,1,7,44_,cam_2,218.35549999999998,74.80795,629.12675,191.856875,96.9040875,701.6075000000001,-0.44825600000000004,-0.258735,-0.855642
105,0,1560517880.0,0.975,1,1,7,44_,cam_3,-257.95900000000006,114.087125,699.3626250000001,-295.825125,95.484975,674.673125,0.637951,-0.0447815,-0.768774
37,0,1560517882.0,0.975,1,1,7,44_,cam_2,331.24350000000004,94.7569375,728.4594999999999,256.502625,80.24875,662.978875,0.0950605,-0.235389,-0.967241
106,0,1560517882.0,0.975,1,1,16,44_,cam_3,-263.2895,93.51344999999999,686.59225,-302.331875,77.498775,665.14375,0.653594,-0.034931300000000005,-0.756039
107,0,1560517883.0,0.975,1,1,16,44_,cam_3,-272.91975,91.95685000000002,699.760875,-309.152125,74.6241375,671.841625,0.674643,-0.0357134,-0.73728
108,0,1560517883.0,0.975,1,1,16,44_,cam_3,-274.345,87.94403750000001,696.968625,-310.364,70.093425,668.68,0.677562,-0.0396956,-0.7343930000000001
38,0,1560517884.0,0.975,1,1,16,44_,cam_2,421.3171249999999,135.2035,765.2022499999999,358.00362499999994,122.448625,724.7361249999999,0.0367661,0.00339532,-0.999318
41,0,1560517888.0,0.975,1,1,16,44_,cam_2,241.57675,96.481775,636.226875,202.22625,112.14350000000002,674.6569999999999,-0.35825799999999997,-0.141284,-0.9228709999999999
42,0,1560517888.0,0.975,1,1,16,44_,cam_2,237.76749999999998,87.68375000000002,643.961625,195.72650000000002,102.330625,674.5411250000001,-0.347556,-0.20608200000000002,-0.914732
43,0,1560517890.0,0.925,1,1,22,44_,cam_2,225.926625,67.7185625,643.8115,186.48,84.31117499999999,677.358375,-0.392574,-0.397314,-0.8294739999999999
124,0,1560517898.0,0.975,1,1,5,44_,cam_3,-284.594125,98.93022500000001,702.081,-305.880625,75.74203750000001,646.60825,0.703493,0.046651099999999994,-0.70917
125,0,1560517901.0,0.975,1,1,5,44_,cam_3,-250.1795,119.79025,666.923875,-278.45300000000003,91.2830625,632.9525,0.686109,0.00488955,-0.727482
49,0,1560517902.0,0.975,1,1,5,44_,cam_2,416.410125,95.53925,790.5426249999999,328.59800000000007,86.41785,702.0587499999999,0.124194,-0.16489,-0.978462
127,0,1560517906.0,0.975,1,1,10,44_,cam_3,-260.75,134.471,728.080625,-282.1515,105.82000000000001,681.0885000000001,0.692749,0.14410699999999999,-0.706635
50,0,1560517906.0,0.975,1,1,10,44_,cam_2,442.85087500000003,202.67375,783.15075,369.74937500000004,150.43062500000002,694.3107500000001,0.179423,-0.0824098,-0.9803139999999999
51,0,1560517906.0,0.975,1,1,10,44_,cam_2,418.26075000000003,185.898,742.806125,357.55825000000004,137.482875,662.45225,0.203836,-0.0507339,-0.97769
128,0,1560517907.0,0.975,1,1,10,44_,cam_3,-279.72875,130.18075,771.2094999999999,-301.78475,101.3976375,718.3026250000001,0.717917,0.07290419999999999,-0.692301
52,0,1560517908.0,0.975,1,1,10,44_,cam_2,311.703875,116.7055,667.247,242.723,106.27700000000002,626.791125,-0.0460601,-0.12493699999999999,-0.9910950000000001
53,0,1560517908.0,0.975,1,1,10,44_,cam_2,316.950125,114.91037499999999,678.566125,247.45050000000003,104.40425,639.450875,-0.047356699999999995,-0.144654,-0.988348
129,0,1560517909.0,0.925,1,1,10,44_,cam_3,-321.716,74.9627625,617.2708749999999,-401.96000000000004,81.12281250000001,665.7460000000001,0.369992,-0.0618275,-0.926975
