frame,face_id,timestamp,confidence,success,position,aoi,tester,client_id,eye_l_X,eye_l_Y,eye_l_Z,eye_r_X,eye_r_Y,eye_r_Z,gaze_l_X,gaze_l_Y,gaze_l_Z
354,0,1560340739.0,0.975,1,3,25,11_,cam_4,98.47007500000001,62.794000000000004,884.46225,45.697975000000014,66.45343749999999,882.085,0.0346905,-0.35234099999999996,-0.9352280000000001
368,0,1560340771.0,0.975,1,3,1,11_,cam_4,146.33675,97.7371125,870.1565,90.31424999999999,89.4488375,832.7451249999999,0.167999,0.00838459,-0.985751
369,0,1560340771.0,0.975,1,3,1,11_,cam_4,149.136625,98.06288749999999,879.02225,93.05575000000002,89.76710000000001,841.4434999999999,0.174515,0.028969400000000003,-0.9842280000000001
370,0,1560340772.0,0.975,1,3,1,11_,cam_4,149.85899999999998,98.20142499999999,880.1465000000001,93.60396250000001,89.73048750000001,841.0306250000001,0.169971,0.0352332,-0.984819
389,0,1560340829.0,0.975,1,3,13,11_,cam_4,32.476974999999996,79.87525000000001,887.9590000000001,-13.529212500000002,102.13005000000001,995.542375,-0.271845,-0.000750017,-0.962341
390,0,1560340834.0,0.975,1,3,17,11_,cam_4,11.51608,62.880362500000004,803.0692499999999,-18.3293125,93.8367375,864.377125,-0.561018,-0.293955,-0.773853
391,0,1560340834.0,0.975,1,3,17,11_,cam_4,13.0174125,60.21736249999999,758.4573750000001,-16.2082625,95.69245,807.4927499999999,-0.556411,-0.362589,-0.74762
412,0,1560340882.0,0.975,1,3,20,11_,cam_4,-21.429025000000003,80.29587500000001,915.4460000000001,-51.839937500000005,100.23823749999998,964.2963749999998,-0.5676479999999999,-0.168956,-0.8057479999999999
413,0,1560340883.0,0.975,1,3,20,11_,cam_4,-18.462425,72.03741249999999,820.983,-48.098625,101.401175,880.4064999999999,-0.568225,-0.26498499999999997,-0.77904
414,0,1560340883.0,0.975,1,3,20,11_,cam_4,-14.301475,68.36165,774.227875,-41.1779375,106.07199999999999,829.0065000000001,-0.567908,-0.343093,-0.7481770000000001
415,0,1560340884.0,0.975,1,3,20,11_,cam_4,-13.9767625,67.8984875,780.741375,-42.072874999999996,104.26075,835.5562500000001,-0.564541,-0.320301,-0.760724
416,0,1560340884.0,0.975,1,3,20,11_,cam_4,-14.226,66.15376249999998,786.288125,-42.73323750000001,100.67988749999999,838.7247500000001,-0.5630350000000001,-0.29765,-0.770971
417,0,1560340889.0,0.975,1,3,10,11_,cam_4,-4.3979225,69.930925,763.02325,-36.84415,101.250925,827.353125,-0.5411199999999999,-0.288487,-0.789914
418,0,1560340890.0,0.975,1,3,10,11_,cam_4,0.01051474999999999,67.711375,738.6189999999999,-30.250774999999997,103.198625,798.40625,-0.552951,-0.347008,-0.757516
1796,0,1560340939.0,0.975,1,1,12,11_,cam_2,460.66187499999995,-104.51299999999999,740.872875,367.43025,-93.62265,665.775625,-0.07060269999999999,0.104083,-0.992059
1797,0,1560340941.0,0.975,1,1,12,11_,cam_2,394.133,-67.35265,652.376125,318.41149999999993,-61.55435,611.862625,-0.197913,0.146402,-0.969225
1798,0,1560340942.0,0.975,1,1,12,11_,cam_2,406.08425000000005,-65.65195,663.8649999999999,325.415875,-59.357175,613.29675,-0.16063,0.200694,-0.9663950000000001
1799,0,1560340942.0,0.975,1,1,12,11_,cam_2,396.9245000000001,-65.74091250000001,658.638375,322.822625,-60.3926625,620.82875,-0.20658,0.234565,-0.9498969999999999
1800,0,1560340943.0,0.975,1,1,12,11_,cam_2,397.90500000000003,-66.543625,658.1261249999999,321.539125,-61.1089875,617.095,-0.19888499999999998,0.238831,-0.950476
1811,0,1560340964.0,0.975,1,1,5,11_,cam_2,310.234875,-79.88931249999999,627.304,290.64074999999997,-65.6648375,691.84325,-0.48623999999999995,0.160565,-0.8589469999999999
1813,0,1560340966.0,0.975,1,1,5,11_,cam_2,312.24125,-81.848425,631.668,290.22562500000004,-67.8418375,692.4335,-0.45933,0.165734,-0.872667
1494,0,1560340968.0,0.975,1,1,5,11_,cam_3,-335.30400000000003,-55.605737500000004,768.4214999999999,-357.1825,-70.775375,718.804875,0.706471,0.235143,-0.667538
1495,0,1560340969.0,0.975,1,1,3,11_,cam_3,-336.43675,-57.9239125,752.601125,-354.854375,-71.445875,696.5474999999999,0.716236,0.213158,-0.664507
1496,0,1560340969.0,0.975,1,1,3,11_,cam_3,-345.75025,-55.910675,770.9159999999999,-362.806875,-70.182075,710.589625,0.696131,0.25907399999999997,-0.669539
1497,0,1560340970.0,0.975,1,1,3,11_,cam_3,-345.8022500000001,-54.676575,770.82375,-362.319,-69.58924999999999,709.58025,0.699712,0.267783,-0.662341
1503,0,1560340983.0,0.975,1,1,11,11_,cam_3,-315.981125,-56.0122,681.385,-335.571625,-61.69166250000001,623.65675,0.6701819999999999,0.318253,-0.6705
1504,0,1560340984.0,0.975,1,1,11,11_,cam_3,-319.085625,-57.25801250000001,684.6999999999999,-342.65175,-64.12855,630.20175,0.650019,0.273496,-0.708996
1830,0,1560340985.0,0.975,1,1,11,11_,cam_2,428.222375,-72.3783875,687.016625,348.668875,-62.233125,632.4145,-0.110793,0.168973,-0.979374
1831,0,1560340986.0,0.975,1,1,11,11_,cam_2,446.876625,-76.7269,715.853125,361.293375,-66.31385,651.529,-0.0895118,0.173652,-0.9807309999999999
1832,0,1560340986.0,0.975,1,1,11,11_,cam_2,431.728,-76.8933,695.280375,351.30475,-66.6121625,642.3527500000001,-0.11268299999999999,0.169909,-0.9789959999999999
1833,0,1560340987.0,0.975,1,1,11,11_,cam_2,439.41537500000004,-78.64915,705.4725,352.0085,-67.35381249999999,640.255625,-0.09658889999999999,0.173284,-0.980124
1834,0,1560340988.0,0.975,1,1,11,11_,cam_2,427.36075,-82.69522500000001,688.899,350.36949999999996,-73.5003,642.641875,-0.118244,0.13280699999999998,-0.9840629999999999
